,Source,Sink,Time,Value
593,RI,SEMA,18,0.0
594,RI,SEMA,19,0.0
595,RI,SEMA,20,0.0
596,RI,SEMA,21,0.0
597,RI,SEMA,22,0.0
598,RI,SEMA,23,0.0
599,RI,SEMA,24,0.0
600,RI,VT,1,0.0
601,RI,VT,2,0.0
602,RI,VT,3,0.0
603,RI,VT,4,0.0
604,RI,VT,5,0.0
605,RI,VT,6,0.0
606,RI,VT,7,0.0
607,RI,VT,8,0.0
608,RI,VT,9,0.0
609,RI,VT,10,0.0
610,RI,VT,11,0.0
611,RI,VT,12,0.0
612,RI,VT,13,0.0
613,RI,VT,14,0.0
614,RI,VT,15,0.0
615,RI,VT,16,0.0
616,RI,VT,17,0.0
617,RI,VT,18,0.0
618,RI,VT,19,0.0
619,RI,VT,20,0.0
620,RI,VT,21,0.0
621,RI,VT,22,0.0
622,RI,VT,23,0.0
623,RI,VT,24,0.0
624,RI,WCMA,1,3400.0
625,RI,WCMA,2,3400.0
626,RI,WCMA,3,3400.0
627,RI,WCMA,4,3400.0
628,RI,WCMA,5,3400.0
629,RI,WCMA,6,3400.0
630,RI,WCMA,7,3400.0
631,RI,WCMA,8,3400.0
632,RI,WCMA,9,3400.0
633,RI,WCMA,10,3400.0
634,RI,WCMA,11,3400.0
635,RI,WCMA,12,3400.0
636,RI,WCMA,13,0.0
637,RI,WCMA,14,0.0
638,RI,WCMA,15,0.0
639,RI,WCMA,16,3400.0
640,RI,WCMA,17,3400.0
641,RI,WCMA,18,3400.0
642,RI,WCMA,19,3400.0
643,RI,WCMA,20,3400.0
644,RI,WCMA,21,3400.0
645,RI,WCMA,22,0.0
646,RI,WCMA,23,0.0
647,RI,WCMA,24,0.0
648,RI,RI,1,0.0
649,RI,RI,2,0.0
650,RI,RI,3,0.0
651,RI,RI,4,0.0
652,RI,RI,5,0.0
653,RI,RI,6,0.0
654,RI,RI,7,0.0
655,RI,RI,8,0.0
656,RI,RI,9,0.0
657,RI,RI,10,0.0
658,RI,RI,11,0.0
659,RI,RI,12,0.0
660,RI,RI,13,0.0
661,RI,RI,14,0.0
662,RI,RI,15,0.0
663,RI,RI,16,0.0
664,RI,RI,17,0.0
665,RI,RI,18,0.0
666,RI,RI,19,0.0
667,RI,RI,20,0.0
668,RI,RI,21,0.0
669,RI,RI,22,0.0
670,RI,RI,23,0.0
671,RI,RI,24,0.0
672,RI,NH,1,0.0
673,RI,NH,2,0.0
674,RI,NH,3,0.0
675,RI,NH,4,0.0
676,RI,NH,5,0.0
677,RI,NH,6,0.0
678,RI,NH,7,0.0
679,RI,NH,8,0.0
680,RI,NH,9,0.0
681,RI,NH,10,0.0
682,RI,NH,11,0.0
683,RI,NH,12,0.0
684,RI,NH,13,0.0
685,RI,NH,14,0.0
686,RI,NH,15,0.0
687,RI,NH,16,0.0
688,RI,NH,17,0.0
689,RI,NH,18,0.0
690,RI,NH,19,0.0
691,RI,NH,20,0.0
692,RI,NH,21,0.0
693,RI,NH,22,0.0
694,RI,NH,23,0.0
695,RI,NH,24,0.0
696,RI,CT,1,2800.0
697,RI,CT,2,2800.0
698,RI,CT,3,0.0
699,RI,CT,4,0.0
700,RI,CT,5,0.0
701,RI,CT,6,0.0
702,RI,CT,7,2800.0
703,RI,CT,8,2800.0
704,RI,CT,9,2800.0
705,RI,CT,10,2800.0
706,RI,CT,11,2800.0
707,RI,CT,12,2800.0
708,RI,CT,13,2800.0
709,RI,CT,14,2800.0
710,RI,CT,15,0.0
711,RI,CT,16,2800.0
712,RI,CT,17,2800.0
713,RI,CT,18,2800.0
714,RI,CT,19,2800.0
715,RI,CT,20,2800.0
716,RI,CT,21,2800.0
717,RI,CT,22,2800.0
718,RI,CT,23,2800.0
719,RI,CT,24,2800.0
720,RI,NEMA,1,0.0
721,RI,NEMA,2,0.0
722,RI,NEMA,3,4505.996055194879
723,RI,NEMA,4,4441.271706817389
724,RI,NEMA,5,4435.076382507638
725,RI,NEMA,6,4503.752648158845
726,RI,NEMA,7,0.0
727,RI,NEMA,8,0.0
728,RI,NEMA,9,0.0
729,RI,NEMA,10,0.0
730,RI,NEMA,11,0.0
731,RI,NEMA,12,0.0
732,RI,NEMA,13,4850.0
733,RI,NEMA,14,4850.0
734,RI,NEMA,15,4850.0
735,RI,NEMA,16,0.0
736,RI,NEMA,17,0.0
737,RI,NEMA,18,0.0
738,RI,NEMA,19,0.0
739,RI,NEMA,20,0.0
740,RI,NEMA,21,0.0
741,RI,NEMA,22,4850.0
742,RI,NEMA,23,4850.0
743,RI,NEMA,24,4850.0
744,RI,ME,1,0.0
745,RI,ME,2,0.0
746,RI,ME,3,0.0
747,RI,ME,4,0.0
748,RI,ME,5,0.0
749,RI,ME,6,0.0
750,RI,ME,7,0.0
751,RI,ME,8,0.0
752,RI,ME,9,0.0
753,RI,ME,10,0.0
754,RI,ME,11,0.0
755,RI,ME,12,0.0
756,RI,ME,13,0.0
757,RI,ME,14,0.0
758,RI,ME,15,0.0
759,RI,ME,16,0.0
760,RI,ME,17,0.0
761,RI,ME,18,0.0
762,RI,ME,19,0.0
763,RI,ME,20,0.0
764,RI,ME,21,0.0
765,RI,ME,22,0.0
766,RI,ME,23,0.0
767,RI,ME,24,0.0
768,NH,SEMA,1,0.0
769,NH,SEMA,2,0.0
770,NH,SEMA,3,0.0
771,NH,SEMA,4,0.0
772,NH,SEMA,5,0.0
773,NH,SEMA,6,0.0
774,NH,SEMA,7,0.0
775,NH,SEMA,8,0.0
776,NH,SEMA,9,0.0
777,NH,SEMA,10,0.0
778,NH,SEMA,11,0.0
779,NH,SEMA,12,0.0
780,NH,SEMA,13,0.0
781,NH,SEMA,14,0.0
782,NH,SEMA,15,0.0
783,NH,SEMA,16,0.0
784,NH,SEMA,17,0.0
785,NH,SEMA,18,0.0
786,NH,SEMA,19,0.0
787,NH,SEMA,20,0.0
788,NH,SEMA,21,0.0
789,NH,SEMA,22,0.0
790,NH,SEMA,23,0.0
791,NH,SEMA,24,0.0
792,NH,VT,1,3059.405351097337
793,NH,VT,2,0.0
794,NH,VT,3,0.0
795,NH,VT,4,0.0
796,NH,VT,5,0.0
797,NH,VT,6,0.0
798,NH,VT,7,3141.8777042994225
799,NH,VT,8,0.0
800,NH,VT,9,0.0
801,NH,VT,10,3226.198893670683
802,NH,VT,11,3240.0987622135435
803,NH,VT,12,3120.8206492886084
804,NH,VT,13,2995.681684972809
805,NH,VT,14,2873.0465511725415
806,NH,VT,15,0.0
807,NH,VT,16,2644.867752403272
808,NH,VT,17,2563.2643301509806
809,NH,VT,18,2476.41117229628
810,NH,VT,19,1790.434643823146
811,NH,VT,20,2223.296218793325
812,NH,VT,21,1813.558776035093
813,NH,VT,22,2862.289746151213
814,NH,VT,23,2772.817386514733
815,NH,VT,24,2685.6440997543864
816,NH,WCMA,1,0.0
817,NH,WCMA,2,453.15883310405013
818,NH,WCMA,3,388.99759105390945
819,NH,WCMA,4,354.947127506867
820,NH,WCMA,5,340.59096138368784
821,NH,WCMA,6,354.37311153841983
822,NH,WCMA,7,0.0
823,NH,WCMA,8,317.07666838715147
824,NH,WCMA,9,568.3336982983396
825,NH,WCMA,10,0.0
