,Source,Sink,Time,Value
499,NEMA,RI,20,0.0
500,NEMA,RI,21,0.0
501,NEMA,RI,22,0.0
502,NEMA,RI,23,0.0
503,NEMA,RI,24,0.0
504,NEMA,CT,1,0.0
505,NEMA,CT,2,0.0
506,NEMA,CT,3,0.0
507,NEMA,CT,4,0.0
508,NEMA,CT,5,0.0
509,NEMA,CT,6,0.0
510,NEMA,CT,7,0.0
511,NEMA,CT,8,0.0
512,NEMA,CT,9,0.0
513,NEMA,CT,10,0.0
514,NEMA,CT,11,0.0
515,NEMA,CT,12,0.0
516,NEMA,CT,13,0.0
517,NEMA,CT,14,0.0
518,NEMA,CT,15,0.0
519,NEMA,CT,16,0.0
520,NEMA,CT,17,0.0
521,NEMA,CT,18,0.0
522,NEMA,CT,19,0.0
523,NEMA,CT,20,0.0
524,NEMA,CT,21,0.0
525,NEMA,CT,22,0.0
526,NEMA,CT,23,0.0
527,NEMA,CT,24,0.0
528,NEMA,VT,1,0.0
529,NEMA,VT,2,0.0
530,NEMA,VT,3,0.0
531,NEMA,VT,4,0.0
532,NEMA,VT,5,0.0
533,NEMA,VT,6,0.0
534,NEMA,VT,7,0.0
535,NEMA,VT,8,0.0
536,NEMA,VT,9,0.0
537,NEMA,VT,10,0.0
538,NEMA,VT,11,0.0
539,NEMA,VT,12,0.0
540,NEMA,VT,13,0.0
541,NEMA,VT,14,0.0
542,NEMA,VT,15,0.0
543,NEMA,VT,16,0.0
544,NEMA,VT,17,0.0
545,NEMA,VT,18,0.0
546,NEMA,VT,19,0.0
547,NEMA,VT,20,0.0
548,NEMA,VT,21,0.0
549,NEMA,VT,22,0.0
550,NEMA,VT,23,0.0
551,NEMA,VT,24,0.0
552,NEMA,SEMA,1,4850.0
553,NEMA,SEMA,2,4850.0
554,NEMA,SEMA,3,4850.0
555,NEMA,SEMA,4,0.0
556,NEMA,SEMA,5,4850.0
557,NEMA,SEMA,6,0.0
558,NEMA,SEMA,7,0.0
559,NEMA,SEMA,8,4850.0
560,NEMA,SEMA,9,0.0
561,NEMA,SEMA,10,0.0
562,NEMA,SEMA,11,0.0
563,NEMA,SEMA,12,0.0
564,NEMA,SEMA,13,0.0
565,NEMA,SEMA,14,0.0
566,NEMA,SEMA,15,0.0
567,NEMA,SEMA,16,0.0
568,NEMA,SEMA,17,0.0
569,NEMA,SEMA,18,0.0
570,NEMA,SEMA,19,0.0
571,NEMA,SEMA,20,0.0
572,NEMA,SEMA,21,0.0
573,NEMA,SEMA,22,0.0
574,NEMA,SEMA,23,0.0
575,NEMA,SEMA,24,4850.0
576,ME,WCMA,1,0.0
577,ME,WCMA,2,0.0
578,ME,WCMA,3,0.0
579,ME,WCMA,4,0.0
580,ME,WCMA,5,0.0
581,ME,WCMA,6,0.0
582,ME,WCMA,7,0.0
583,ME,WCMA,8,0.0
584,ME,WCMA,9,0.0
585,ME,WCMA,10,0.0
586,ME,WCMA,11,0.0
587,ME,WCMA,12,0.0
588,ME,WCMA,13,0.0
589,ME,WCMA,14,0.0
590,ME,WCMA,15,0.0
591,ME,WCMA,16,0.0
592,ME,WCMA,17,0.0
593,ME,WCMA,18,0.0
594,ME,WCMA,19,0.0
595,ME,WCMA,20,0.0
596,ME,WCMA,21,0.0
597,ME,WCMA,22,0.0
598,ME,WCMA,23,0.0
599,ME,WCMA,24,0.0
600,ME,NH,1,618.7565
601,ME,NH,2,666.5565000000001
602,ME,NH,3,695.6565
603,ME,NH,4,708.1564999999999
604,ME,NH,5,724.0565
605,ME,NH,6,640.1565
606,ME,NH,7,682.6365
607,ME,NH,8,597.5365
608,ME,NH,9,537.8364999999999
609,ME,NH,10,470.6364999999998
610,ME,NH,11,446.1364999999998
611,ME,NH,12,457.03649999999993
612,ME,NH,13,471.4364999999998
613,ME,NH,14,1305.4973999999997
614,ME,NH,15,467.43649999999974
615,ME,NH,16,600.6664100000012
616,ME,NH,17,1751.8365
617,ME,NH,18,1720.0365000000002
618,ME,NH,19,1771.4364999999998
619,ME,NH,20,1794.2364999999995
620,ME,NH,21,1853.4365
621,ME,NH,22,1900.0
622,ME,NH,23,1145.8223999999989
623,ME,NH,24,684.0365000000002
624,ME,NEMA,1,0.0
625,ME,NEMA,2,0.0
626,ME,NEMA,3,0.0
627,ME,NEMA,4,0.0
628,ME,NEMA,5,0.0
629,ME,NEMA,6,0.0
630,ME,NEMA,7,0.0
631,ME,NEMA,8,0.0
632,ME,NEMA,9,0.0
633,ME,NEMA,10,0.0
634,ME,NEMA,11,0.0
635,ME,NEMA,12,0.0
636,ME,NEMA,13,0.0
637,ME,NEMA,14,0.0
638,ME,NEMA,15,0.0
639,ME,NEMA,16,0.0
640,ME,NEMA,17,0.0
641,ME,NEMA,18,0.0
642,ME,NEMA,19,0.0
643,ME,NEMA,20,0.0
644,ME,NEMA,21,0.0
645,ME,NEMA,22,0.0
646,ME,NEMA,23,0.0
647,ME,NEMA,24,0.0
648,ME,ME,1,0.0
649,ME,ME,2,0.0
650,ME,ME,3,0.0
651,ME,ME,4,0.0
652,ME,ME,5,0.0
653,ME,ME,6,0.0
654,ME,ME,7,0.0
655,ME,ME,8,0.0
656,ME,ME,9,0.0
657,ME,ME,10,0.0
658,ME,ME,11,0.0
659,ME,ME,12,0.0
660,ME,ME,13,0.0
661,ME,ME,14,0.0
662,ME,ME,15,0.0
663,ME,ME,16,0.0
664,ME,ME,17,0.0
665,ME,ME,18,0.0
666,ME,ME,19,0.0
667,ME,ME,20,0.0
668,ME,ME,21,0.0
669,ME,ME,22,0.0
670,ME,ME,23,0.0
671,ME,ME,24,0.0
672,ME,RI,1,0.0
673,ME,RI,2,0.0
674,ME,RI,3,0.0
675,ME,RI,4,0.0
676,ME,RI,5,0.0
677,ME,RI,6,0.0
678,ME,RI,7,0.0
679,ME,RI,8,0.0
680,ME,RI,9,0.0
681,ME,RI,10,0.0
682,ME,RI,11,0.0
683,ME,RI,12,0.0
684,ME,RI,13,0.0
685,ME,RI,14,0.0
686,ME,RI,15,0.0
687,ME,RI,16,0.0
688,ME,RI,17,0.0
689,ME,RI,18,0.0
690,ME,RI,19,0.0
691,ME,RI,20,0.0
692,ME,RI,21,0.0
693,ME,RI,22,0.0
694,ME,RI,23,0.0
695,ME,RI,24,0.0
696,ME,CT,1,0.0
697,ME,CT,2,0.0
698,ME,CT,3,0.0
699,ME,CT,4,0.0
700,ME,CT,5,0.0
701,ME,CT,6,0.0
702,ME,CT,7,0.0
703,ME,CT,8,0.0
704,ME,CT,9,0.0
705,ME,CT,10,0.0
706,ME,CT,11,0.0
707,ME,CT,12,0.0
708,ME,CT,13,0.0
709,ME,CT,14,0.0
710,ME,CT,15,0.0
711,ME,CT,16,0.0
712,ME,CT,17,0.0
713,ME,CT,18,0.0
714,ME,CT,19,0.0
715,ME,CT,20,0.0
716,ME,CT,21,0.0
717,ME,CT,22,0.0
718,ME,CT,23,0.0
719,ME,CT,24,0.0
720,ME,VT,1,0.0
721,ME,VT,2,0.0
722,ME,VT,3,0.0
723,ME,VT,4,0.0
724,ME,VT,5,0.0
725,ME,VT,6,0.0
726,ME,VT,7,0.0
727,ME,VT,8,0.0
728,ME,VT,9,0.0
729,ME,VT,10,0.0
730,ME,VT,11,0.0
731,ME,VT,12,0.0
732,ME,VT,13,0.0
733,ME,VT,14,0.0
734,ME,VT,15,0.0
735,ME,VT,16,0.0
736,ME,VT,17,0.0
737,ME,VT,18,0.0
738,ME,VT,19,0.0
739,ME,VT,20,0.0
740,ME,VT,21,0.0
741,ME,VT,22,0.0
742,ME,VT,23,0.0
743,ME,VT,24,0.0
744,ME,SEMA,1,0.0
745,ME,SEMA,2,0.0
746,ME,SEMA,3,0.0
747,ME,SEMA,4,0.0
748,ME,SEMA,5,0.0
749,ME,SEMA,6,0.0
750,ME,SEMA,7,0.0
751,ME,SEMA,8,0.0
752,ME,SEMA,9,0.0
753,ME,SEMA,10,0.0
754,ME,SEMA,11,0.0
755,ME,SEMA,12,0.0
756,ME,SEMA,13,0.0
757,ME,SEMA,14,0.0
758,ME,SEMA,15,0.0
759,ME,SEMA,16,0.0
760,ME,SEMA,17,0.0
761,ME,SEMA,18,0.0
762,ME,SEMA,19,0.0
763,ME,SEMA,20,0.0
764,ME,SEMA,21,0.0
765,ME,SEMA,22,0.0
766,ME,SEMA,23,0.0
767,ME,SEMA,24,0.0
768,RI,WCMA,1,3400.0
769,RI,WCMA,2,3400.0
770,RI,WCMA,3,3400.0
771,RI,WCMA,4,0.0
772,RI,WCMA,5,3400.0
773,RI,WCMA,6,0.0
774,RI,WCMA,7,0.0
775,RI,WCMA,8,3400.0
776,RI,WCMA,9,0.0
777,RI,WCMA,10,0.0
778,RI,WCMA,11,0.0
779,RI,WCMA,12,0.0
780,RI,WCMA,13,0.0
781,RI,WCMA,14,0.0
782,RI,WCMA,15,0.0
783,RI,WCMA,16,0.0
784,RI,WCMA,17,0.0
785,RI,WCMA,18,0.0
786,RI,WCMA,19,0.0
787,RI,WCMA,20,0.0
788,RI,WCMA,21,0.0
789,RI,WCMA,22,0.0
790,RI,WCMA,23,0.0
791,RI,WCMA,24,3400.0
792,RI,NH,1,0.0
793,RI,NH,2,0.0
794,RI,NH,3,0.0
795,RI,NH,4,0.0
796,RI,NH,5,0.0
797,RI,NH,6,0.0
798,RI,NH,7,0.0
799,RI,NH,8,0.0
800,RI,NH,9,0.0
801,RI,NH,10,0.0
802,RI,NH,11,0.0
803,RI,NH,12,0.0
804,RI,NH,13,0.0
805,RI,NH,14,0.0
806,RI,NH,15,0.0
807,RI,NH,16,0.0
808,RI,NH,17,0.0
809,RI,NH,18,0.0
810,RI,NH,19,0.0
811,RI,NH,20,0.0
812,RI,NH,21,0.0
813,RI,NH,22,0.0
814,RI,NH,23,0.0
815,RI,NH,24,0.0
816,RI,NEMA,1,3970.7351000000003
817,RI,NEMA,2,0.0
818,RI,NEMA,3,4011.995099999999
819,RI,NEMA,4,4850.0
820,RI,NEMA,5,0.0
821,RI,NEMA,6,4850.0
822,RI,NEMA,7,4850.0
823,RI,NEMA,8,1205.5100000000004
824,RI,NEMA,9,4850.0
825,RI,NEMA,10,4850.0
826,RI,NEMA,11,4850.0
827,RI,NEMA,12,4850.0
828,RI,NEMA,13,4850.0
829,RI,NEMA,14,4850.0
830,RI,NEMA,15,4850.0
831,RI,NEMA,16,4850.0
832,RI,NEMA,17,4850.0
833,RI,NEMA,18,4850.0
834,RI,NEMA,19,4850.0
835,RI,NEMA,20,4850.0
836,RI,NEMA,21,4850.0
837,RI,NEMA,22,4850.0
838,RI,NEMA,23,4850.0
839,RI,NEMA,24,3948.6351000000004
840,RI,ME,1,0.0
841,RI,ME,2,0.0
842,RI,ME,3,0.0
843,RI,ME,4,0.0
844,RI,ME,5,0.0
845,RI,ME,6,0.0
846,RI,ME,7,0.0
847,RI,ME,8,0.0
848,RI,ME,9,0.0
849,RI,ME,10,0.0
850,RI,ME,11,0.0
851,RI,ME,12,0.0
852,RI,ME,13,0.0
853,RI,ME,14,0.0
