,Generator,Time,Value,Zones
514,FortHill1234FH2,11,2.6,CT
515,FortHill1234FH2,12,2.6,CT
516,FortHill1234FH2,13,2.6,CT
517,FortHill1234FH2,14,2.6,CT
518,FortHill1234FH2,15,2.6,CT
519,FortHill1234FH2,16,2.6,CT
520,FortHill1234FH2,17,2.6,CT
521,FortHill1234FH2,18,2.6,CT
522,FortHill1234FH2,19,2.6,CT
523,FortHill1234FH2,20,2.6,CT
524,FortHill1234FH2,21,2.6,CT
525,FortHill1234FH2,22,2.6,CT
526,FortHill1234FH2,23,2.6,CT
527,FortHill1234FH2,24,2.6,CT
528,HartfordHospitalCogenerationGEN4,1,0.0,CT
529,HartfordHospitalCogenerationGEN4,2,0.0,CT
530,HartfordHospitalCogenerationGEN4,3,0.0,CT
531,HartfordHospitalCogenerationGEN4,4,0.0,CT
532,HartfordHospitalCogenerationGEN4,5,0.0,CT
533,HartfordHospitalCogenerationGEN4,6,0.0,CT
534,HartfordHospitalCogenerationGEN4,7,0.0,CT
535,HartfordHospitalCogenerationGEN4,8,0.0,CT
536,HartfordHospitalCogenerationGEN4,9,0.0,CT
537,HartfordHospitalCogenerationGEN4,10,0.0,CT
538,HartfordHospitalCogenerationGEN4,11,0.0,CT
539,HartfordHospitalCogenerationGEN4,12,0.0,CT
540,HartfordHospitalCogenerationGEN4,13,0.0,CT
541,HartfordHospitalCogenerationGEN4,14,0.0,CT
542,HartfordHospitalCogenerationGEN4,15,0.0,CT
543,HartfordHospitalCogenerationGEN4,16,0.0,CT
544,HartfordHospitalCogenerationGEN4,17,0.0,CT
545,HartfordHospitalCogenerationGEN4,18,0.0,CT
546,HartfordHospitalCogenerationGEN4,19,0.0,CT
547,HartfordHospitalCogenerationGEN4,20,0.0,CT
548,HartfordHospitalCogenerationGEN4,21,0.0,CT
549,HartfordHospitalCogenerationGEN4,22,0.0,CT
550,HartfordHospitalCogenerationGEN4,23,0.0,CT
551,HartfordHospitalCogenerationGEN4,24,0.0,CT
552,MontvilleStation11,1,2.7,CT
553,MontvilleStation11,2,2.7,CT
554,MontvilleStation11,3,2.7,CT
555,MontvilleStation11,4,2.7,CT
556,MontvilleStation11,5,2.7,CT
557,MontvilleStation11,6,2.7,CT
558,MontvilleStation11,7,2.7,CT
559,MontvilleStation11,8,2.7,CT
560,MontvilleStation11,9,2.7,CT
561,MontvilleStation11,10,2.7,CT
562,MontvilleStation11,11,2.7,CT
563,MontvilleStation11,12,2.7,CT
564,MontvilleStation11,13,2.7,CT
565,MontvilleStation11,14,2.7,CT
566,MontvilleStation11,15,2.7,CT
567,MontvilleStation11,16,2.7,CT
568,MontvilleStation11,17,2.7,CT
569,MontvilleStation11,18,2.7,CT
570,MontvilleStation11,19,2.7,CT
571,MontvilleStation11,20,2.7,CT
572,MontvilleStation11,21,2.7,CT
573,MontvilleStation11,22,2.7,CT
574,MontvilleStation11,23,2.7,CT
575,MontvilleStation11,24,2.7,CT
576,WatersidePowerLLC6,1,23.2,CT
577,WatersidePowerLLC6,2,23.2,CT
578,WatersidePowerLLC6,3,23.2,CT
579,WatersidePowerLLC6,4,23.2,CT
580,WatersidePowerLLC6,5,23.2,CT
581,WatersidePowerLLC6,6,23.2,CT
582,WatersidePowerLLC6,7,23.2,CT
583,WatersidePowerLLC6,8,23.2,CT
584,WatersidePowerLLC6,9,23.2,CT
585,WatersidePowerLLC6,10,23.2,CT
586,WatersidePowerLLC6,11,23.2,CT
587,WatersidePowerLLC6,12,23.2,CT
588,WatersidePowerLLC6,13,23.2,CT
589,WatersidePowerLLC6,14,23.2,CT
590,WatersidePowerLLC6,15,23.2,CT
591,WatersidePowerLLC6,16,23.2,CT
592,WatersidePowerLLC6,17,23.2,CT
